,Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Total.Cup.Points,Calidad
470,6,0,4,0.12,2013,1,399.46357817738493,2,1,82.33,Bueno
64,3,2,4,0.11,2014,1,1200.0,0,4,84.67,Bueno
1212,6,0,4,0.11,2015,1,1500.0,0,2,83.0,Bueno
2208,6,0,4,0.11,2013,1,399.46357817738493,0,2,77.83,Estándar
1709,7,2,4,0.11,2017,1,1650.0,0,5,79.17,Estándar
236,2,3,4,0.11,2016,1,442.0,0,2,83.42,Bueno
416,11,15,4,0.1,2012,1,1250.0,0,6,82.58,Bueno
1499,11,0,4,0.11,2012,1,1400.0,0,2,81.67,Bueno
1603,14,1,4,0.0,2016,1,1300.0,0,0,80.83,Bueno
796,6,0,4,0.11,2013,1,399.46357817738493,0,6,79.67,Estándar
729,0,0,3,0.0,2015,1,1200.0,0,3,80.58,Bueno
1919,11,15,4,0.14,2012,1,1320.0,0,0,78.75,Estándar
2828,4,0,3,0.11,2012,1,1350.0,0,0,85.58,Premium
3075,2,3,4,0.0,2013,0,1800.0,1,0,85.92,Premium
1566,10,3,4,0.12,2014,1,995.0,0,12,81.17,Bueno
441,6,3,4,0.1,2013,1,1400.0,0,0,82.42,Bueno
52,0,0,0,0.11,2011,1,1200.0,0,2,84.92,Bueno
1128,6,0,4,0.0,2012,1,427.333130143249,3,12,83.5,Bueno
2074,11,6,4,0.12,2012,1,800.0,4,24,71.08,Estándar
3051,11,7,4,0.13,2012,1,1320.0,0,0,87.17,Premium
1773,11,15,4,0.12,2013,1,1700.0,0,7,74.67,Estándar
1757,11,15,4,0.15,2012,1,1500.0,4,5,77.33,Estándar
2006,11,15,0,0.13,2012,1,1300.0,31,47,78.33,Estándar
1462,3,3,4,0.09,2015,1,1300.0,0,0,81.83,Bueno
417,11,15,4,0.12,2012,1,1150.0,0,0,82.58,Bueno
488,11,6,4,0.12,2013,0,1338.0,0,4,82.25,Bueno
1190,11,8,4,0.14,2012,1,1089.0,0,10,83.17,Bueno
947,0,0,0,0.11,2011,1,1200.0,0,2,84.92,Bueno
1332,2,3,4,0.11,2016,1,1600.0,0,1,82.42,Bueno
2238,7,2,4,0.1,2014,1,1450.0,0,4,69.33,Estándar
1176,1,1,4,0.1,2015,1,1600.0,0,3,83.17,Bueno
1046,0,0,0,0.0,2018,1,890.0,0,3,83.92,Bueno
1348,11,3,4,0.11,2012,1,1150.0,0,0,82.42,Bueno
2354,11,15,4,0.15,2012,1,1500.0,4,5,77.33,Estándar
1496,11,15,4,0.13,2012,1,1650.0,1,13,81.67,Bueno
428,6,0,4,0.11,2013,1,399.46357817738493,0,0,82.5,Bueno
258,11,15,4,0.11,2017,0,1600.0,0,0,83.25,Bueno
1343,11,15,3,0.13,2012,1,1400.0,0,2,82.42,Bueno
1735,11,0,4,0.0,2014,1,1600.0,0,0,78.5,Estándar
2318,11,8,4,0.11,2012,1,1100.0,4,20,75.5,Estándar
29,18,11,4,0.12,2013,1,1600.0,0,1,85.5,Premium
1670,11,15,4,0.0,2014,1,1400.0,0,2,80.0,Estándar
819,6,0,4,0.1,2017,1,1700.0,0,1,79.08,Estándar
2609,5,7,4,0.12,2014,1,2075.0,0,2,88.83,Premium
659,6,8,4,0.09,2014,0,1700.0,0,2,81.25,Bueno
1354,3,3,4,0.1,2015,0,1850.0,6,3,82.33,Bueno
242,2,3,4,0.12,2015,1,1813.0,0,1,83.42,Bueno
2260,11,15,4,0.0,2014,1,1400.0,0,2,80.0,Estándar
2021,0,0,0,0.0,2018,1,890.0,0,3,77.33,Estándar
2873,0,0,3,0.11,2011,0,1250.0,0,1,85.42,Premium
919,6,2,4,0.1,2012,0,431.97805547089297,0,1,85.83,Premium
667,7,2,0,0.13,2015,1,1450.0,0,1,81.17,Bueno
1542,0,2,0,0.11,2016,1,1100.0,0,14,81.33,Bueno
1463,15,15,4,0.0,2014,1,700.0,0,0,81.83,Bueno
1835,13,3,1,0.1,2016,1,1100.0,0,4,78.83,Estándar
2082,11,15,3,0.14,2012,1,1550.0,3,17,79.0,Estándar
2747,9,13,4,0.0,2012,1,1600.0,0,2,85.33,Premium
261,2,3,0,0.0,2016,1,442.0,0,2,83.25,Bueno
2620,9,13,4,0.0,2012,1,1600.0,0,2,85.33,Premium
1661,0,0,2,0.11,2018,1,1100.0,0,5,80.08,Bueno
2592,3,3,4,0.1,2014,0,1300.0,0,2,85.33,Premium
711,11,15,4,0.11,2012,1,1100.0,0,3,80.83,Bueno
1090,2,3,4,0.0,2013,1,1900.0,0,1,83.67,Bueno
2770,9,13,4,0.0,2012,1,1600.0,0,2,85.33,Premium
2619,2,3,0,0.12,2014,1,1550.0,0,2,85.25,Premium
87,9,12,4,0.11,2012,0,2000.0,0,0,84.5,Bueno
447,11,15,4,0.12,2013,1,1560.0,0,5,82.42,Bueno
2888,9,12,0,0.1,2014,1,1900.0,0,3,85.5,Premium
838,15,15,4,0.1,2013,1,800.0,0,0,78.58,Estándar
2229,7,9,0,0.11,2014,1,1350.0,2,6,78.0,Estándar
1576,11,15,4,0.12,2012,1,1300.0,0,2,81.08,Bueno
1754,6,0,4,0.11,2013,1,399.46357817738493,2,15,77.42,Estándar
1065,2,3,4,0.11,2013,1,1750.0,0,1,83.83,Bueno
2384,11,7,4,0.12,2012,1,1200.0,1,11,77.17,Estándar
556,0,6,0,0.12,2012,1,1100.0,0,3,81.92,Bueno
675,0,6,0,0.12,2012,1,1000.0,0,1,81.17,Bueno
2152,11,8,4,0.11,2012,1,1100.0,4,20,75.5,Estándar
1652,15,15,3,0.11,2014,1,700.0,0,0,80.25,Bueno
312,18,0,4,0.12,2015,1,1473.0,0,6,83.0,Bueno
2850,9,12,0,0.11,2014,0,1754.0,0,2,86.08,Premium
618,12,2,4,0.0,2015,1,371.5940262115209,0,4,81.5,Bueno
1534,10,4,4,0.12,2014,0,1422.0,0,0,81.42,Bueno
2621,11,7,4,0.13,2012,1,1320.0,0,0,87.17,Premium
772,11,15,4,0.14,2012,1,1300.0,1,17,80.08,Bueno
197,6,0,4,0.11,2013,1,399.46357817738493,0,2,83.67,Bueno
1485,7,2,4,0.11,2016,0,1450.0,0,2,81.67,Bueno
2478,3,3,4,0.11,2014,1,1300.0,0,2,87.17,Premium
2054,11,0,4,0.11,2012,1,900.0,0,20,68.33,Estándar
548,6,2,4,0.11,2015,1,1550.0,0,7,81.92,Bueno
615,13,3,1,0.11,2017,1,1100.0,0,3,81.5,Bueno
2611,9,12,0,0.1,2014,1,1900.0,0,3,85.5,Premium
1666,11,15,4,0.15,2012,1,1300.0,0,0,80.08,Bueno
1790,11,8,4,0.11,2012,1,1100.0,4,20,75.5,Estándar
124,5,4,0,0.1,2014,1,1606.5,0,5,84.17,Bueno
2652,9,12,4,0.11,2013,1,1860.0,0,1,86.0,Premium
401,15,15,4,0.08,2014,1,1200.0,0,0,82.67,Bueno
2864,18,11,4,0.12,2013,1,1950.0,0,1,86.83,Premium
117,3,3,4,0.09,2016,0,1700.0,0,2,84.17,Bueno
1964,15,15,4,0.1,2013,0,600.0,0,0,79.75,Estándar
2644,14,4,4,0.08,2017,0,1600.0,0,0,85.83,Premium
503,6,0,4,0.09,2014,0,1500.0,0,4,82.17,Bueno
472,11,15,4,0.12,2013,1,1300.0,0,3,82.33,Bueno
1036,6,0,0,0.1,2014,1,371.5940262115209,0,1,84.0,Bueno
78,0,0,3,0.12,2011,1,1300.0,0,2,84.58,Bueno
568,15,15,4,0.0,2014,1,700.0,0,0,81.83,Bueno
1293,0,16,0,0.0,2016,1,1.0,0,0,82.67,Bueno
71,2,7,4,0.0,2016,0,1500.0,0,4,84.58,Bueno
1899,11,15,4,0.16,2012,1,1400.0,2,4,76.17,Estándar
2506,5,7,0,0.1,2014,1,1822.5,0,4,88.25,Premium
3006,3,3,4,0.11,2014,1,1300.0,0,2,87.17,Premium
2969,0,0,3,0.11,2011,0,1250.0,0,1,85.42,Premium
2622,18,11,4,0.12,2013,1,1600.0,0,1,85.5,Premium
208,11,3,4,0.12,2014,1,1200.0,1,13,83.58,Bueno
1864,11,15,4,0.14,2012,1,12.0,7,38,79.0,Estándar
2902,1,1,0,0.1,2015,1,1700.0,0,0,85.33,Premium
72,9,7,4,0.1,2013,0,1800.0,0,2,84.58,Bueno
2197,11,15,4,0.12,2013,1,1400.0,0,6,79.67,Estándar
1929,3,3,4,0.11,2014,1,1200.0,0,7,71.75,Estándar
2682,0,0,0,0.12,2011,1,1250.0,0,2,86.92,Premium
3027,3,3,4,0.1,2014,0,1300.0,0,2,85.33,Premium
2840,18,11,0,0.12,2013,1,1650.0,0,0,85.92,Premium
2418,0,0,3,0.11,2011,0,1250.0,0,2,86.08,Premium
2607,2,3,4,0.0,2013,0,1800.0,1,0,85.92,Premium
