Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Calidad
11,3,4,0.11,2012,1,1150.0,0,0,1
11,15,4,0.15,2012,1,1500.0,4,5,0
11,15,4,0.13,2012,1,1650.0,1,13,1
6,0,4,0.11,2013,1,399.46357817738493,0,0,1
11,15,4,0.11,2017,0,1600.0,0,0,1
11,15,3,0.13,2012,1,1400.0,0,2,1
11,0,4,0.0,2014,1,1600.0,0,0,0
11,8,4,0.11,2012,1,1100.0,4,20,0
18,11,4,0.12,2013,1,1600.0,0,1,2
11,15,4,0.0,2014,1,1400.0,0,2,0
6,0,4,0.1,2017,1,1700.0,0,1,0
5,7,4,0.12,2014,1,2075.0,0,2,2
6,8,4,0.09,2014,0,1700.0,0,2,1
3,3,4,0.1,2015,0,1850.0,6,3,1
2,3,4,0.12,2015,1,1813.0,0,1,1
11,15,4,0.0,2014,1,1400.0,0,2,0
0,0,0,0.0,2018,1,890.0,0,3,0
0,0,3,0.11,2011,0,1250.0,0,1,2
6,2,4,0.1,2012,0,431.97805547089297,0,1,2
7,2,0,0.13,2015,1,1450.0,0,1,1
0,2,0,0.11,2016,1,1100.0,0,14,1
15,15,4,0.0,2014,1,700.0,0,0,1
13,3,1,0.1,2016,1,1100.0,0,4,0
11,15,3,0.14,2012,1,1550.0,3,17,0
9,13,4,0.0,2012,1,1600.0,0,2,2
2,3,0,0.0,2016,1,442.0,0,2,1
9,13,4,0.0,2012,1,1600.0,0,2,2
0,0,2,0.11,2018,1,1100.0,0,5,1
3,3,4,0.1,2014,0,1300.0,0,2,2
11,15,4,0.11,2012,1,1100.0,0,3,1
2,3,4,0.0,2013,1,1900.0,0,1,1
9,13,4,0.0,2012,1,1600.0,0,2,2
2,3,0,0.12,2014,1,1550.0,0,2,2
9,12,4,0.11,2012,0,2000.0,0,0,1
11,15,4,0.12,2013,1,1560.0,0,5,1
9,12,0,0.1,2014,1,1900.0,0,3,2
15,15,4,0.1,2013,1,800.0,0,0,0
7,9,0,0.11,2014,1,1350.0,2,6,0
11,15,4,0.12,2012,1,1300.0,0,2,1
6,0,4,0.11,2013,1,399.46357817738493,2,15,0
2,3,4,0.11,2013,1,1750.0,0,1,1
