,Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Total.Cup.Points,Calidad
89,3,3,4,0.1,2016,0,1300.0,0,3,84.42,Bueno
90,8,5,1,0.0,2017,0,1400.0,0,3,84.42,Bueno
91,2,3,4,0.0,2014,1,1775.0,0,3,84.42,Bueno
92,15,15,4,0.11,2012,0,1200.0,0,0,84.42,Bueno
93,9,12,4,0.11,2018,1,1800.0,0,4,84.33,Bueno
94,7,2,4,0.11,2016,1,1500.0,0,2,84.33,Bueno
95,2,3,0,0.11,2015,1,442.0,6,0,84.33,Bueno
96,2,3,4,0.0,2013,1,1800.0,0,0,84.33,Bueno
97,11,15,4,0.12,2012,0,1700.0,0,1,84.33,Bueno
98,15,15,4,0.12,2016,0,1000.0,0,0,84.25,Bueno
99,17,1,0,0.12,2015,1,1200.0,0,0,84.25,Bueno
100,2,3,0,0.11,2016,1,2560.0,0,2,84.25,Bueno
101,6,3,4,0.11,2016,1,1500.0,0,4,84.25,Bueno
102,6,3,4,0.1,2015,1,335.084913136239,0,1,84.25,Bueno
103,1,1,0,0.1,2015,1,1400.0,0,1,84.25,Bueno
104,2,3,4,0.11,2015,1,1775.0,0,3,84.25,Bueno
105,2,3,4,0.12,2015,1,1775.0,4,2,84.25,Bueno
106,2,7,4,0.12,2016,1,1800.0,0,0,84.25,Bueno
107,2,3,0,0.12,2015,1,442.0,3,0,84.25,Bueno
108,16,7,4,0.12,2014,1,1620.0,0,7,84.25,Bueno
109,16,7,4,0.12,2014,1,1600.0,0,2,84.25,Bueno
110,6,0,1,0.1,2014,1,371.5940262115209,0,1,84.25,Bueno
111,2,3,4,0.11,2013,1,1700.0,0,2,84.25,Bueno
112,11,15,3,0.12,2012,1,1450.0,0,1,84.25,Bueno
113,11,0,4,0.12,2012,1,1170.0,0,0,84.25,Bueno
114,11,0,4,0.1,2012,0,1400.0,0,4,84.25,Bueno
115,18,7,0,0.13,2012,1,1700.0,4,29,84.25,Bueno
116,6,0,4,0.13,2017,1,1700.0,0,1,84.17,Bueno
117,3,3,4,0.09,2016,0,1700.0,0,2,84.17,Bueno
118,6,3,4,0.11,2016,1,340.3801280097531,0,6,84.17,Bueno
119,6,3,4,0.1,2016,1,1565.0,0,10,84.17,Bueno
